Feature,Coefficient,Abs_Coefficient
manufacturer_tesla,14167.513711873096,14167.513711873096
fuel_electric,-13718.740706588393,13718.740706588393
fuel_hybrid,-12703.49716262684,12703.49716262684
model_corvette,12088.398402002964,12088.398402002964
manufacturer_porsche,11390.869778782842,11390.869778782842
title_status_parts only,-11329.72192107924,11329.72192107924
fuel_gas,-11057.572961333279,11057.572961333279
manufacturer_rover,10568.731828496117,10568.731828496117
fuel_other,-10371.426120902956,10371.426120902956
model_cruze,-9740.049065352268,9740.049065352268
fuel_missing,-9596.170791272552,9596.170791272552
year,-8391.737452933647,8391.737452933647
model_malibu,-8284.79708789576,8284.79708789576
model_wrangler unlimited,7991.595720483247,7991.595720483247
model_equinox,-7709.160857469573,7709.160857469573
model_4runner,7409.333188883626,7409.333188883626
model_impala,-6831.764576873553,6831.764576873553
model_f250,6707.135775942771,6707.135775942771
model_focus,-6406.015984208927,6406.015984208927
model_f-350,6253.637747331275,6253.637747331275
model_other_rover,-6213.0413392506825,6213.0413392506825
model_terrain,-6161.89704997174,6161.89704997174
manufacturer_kia,-6024.527149358168,6024.527149358168
model_corolla,-5908.5490168392025,5908.5490168392025
manufacturer_nissan,-5719.444579489658,5719.444579489658
model_escape,-5608.737856817512,5608.737856817512
type_truck,5564.932737862058,5564.932737862058
manufacturer_fiat,-5546.474539362496,5546.474539362496
model_fusion,-5526.362517642831,5526.362517642831
model_cherokee,-5463.582266669717,5463.582266669717
title_status_salvage,-5403.129271263798,5403.129271263798
manufacturer_volkswagen,-5399.57770927369,5399.57770927369
type_pickup,5138.387900401203,5138.387900401203
manufacturer_hyundai,-5057.545658814889,5057.545658814889
model_other_mitsubishi,-5036.611646858633,5036.611646858633
model_other_lexus,4953.900763711633,4953.900763711633
title_status_missing,-4800.440238830279,4800.440238830279
model_tundra,4722.125168439057,4722.125168439057
type_offroad,4714.5888022753825,4714.5888022753825
model_f-250,4666.875217878283,4666.875217878283
type_hatchback,-4429.865432312652,4429.865432312652
model_other_harley-davidson,-4358.774792906887,4358.774792906887
model_traverse,-4343.570774306157,4343.570774306157
model_wrangler,4303.038767987871,4303.038767987871
manufacturer_mazda,-4118.4311897864445,4118.4311897864445
title_status_rebuilt,-4102.145745699242,4102.145745699242
model_200,-3999.3602632449224,3999.3602632449224
model_silverado 2500hd,3915.319102557822,3915.319102557822
type_bus,-3908.669871883996,3908.669871883996
model_suburban,3712.9486576890054,3712.9486576890054
model_other_mercedes-benz,3700.74994297975,3700.74994297975
model_taurus,-3679.097984229394,3679.097984229394
manufacturer_harley-davidson,-3651.005624487919,3651.005624487919
model_yukon,3642.182173920845,3642.182173920845
manufacturer_alfa-romeo,3618.853753135324,3618.853753135324
model_other_jaguar,3534.6623330486414,3534.6623330486414
model_camry,-3516.807691881217,3516.807691881217
year^2,3508.7080492862647,3508.7080492862647
model_tahoe,3466.380583328201,3466.380583328201
model_other_audi,3268.3420801432435,3268.3420801432435
condition_new,-3267.973590242584,3267.973590242584
region_chicago,-3201.2262561037096,3201.2262561037096
model_other_saturn,-3190.121256573127,3190.121256573127
model_3500,3124.6292514295196,3124.6292514295196
condition_fair,-3123.712210967241,3123.712210967241
model_ranger,-3066.113420507356,3066.113420507356
region_salem,-3026.6796568831833,3026.6796568831833
manufacturer_chrysler,-3007.3388722648942,3007.3388722648942
model_challenger,2960.072408551937,2960.072408551937
region_detroit metro,-2940.969484070393,2940.969484070393
type_convertible,2909.9365026385726,2909.9365026385726
type_other,2854.933063630059,2854.933063630059
region_bakersfield,2853.0365315672284,2853.0365315672284
manufacturer_mini,-2746.7679946986605,2746.7679946986605
model_acadia,-2705.177258024945,2705.177258024945
model_f-150,2679.1286575189542,2679.1286575189542
region_south florida,-2656.2668870044376,2656.2668870044376
model_rav4,-2652.9207049969123,2652.9207049969123
condition_salvage,-2637.910059871503,2637.910059871503
model_2500,2601.1111840190783,2601.1111840190783
model_edge,-2578.333744093041,2578.333744093041
model_other_fiat,-2573.1486458022027,2573.1486458022027
model_other_buick,-2553.254970839234,2553.254970839234
type_sedan,-2551.8652911631334,2551.8652911631334
odometer,-2539.8819865645423,2539.8819865645423
model_sierra 1500,2481.9779542973133,2481.9779542973133
manufacturer_mitsubishi,-2439.711947280995,2439.711947280995
region_other_il,-2393.8672077639444,2393.8672077639444
model_sierra,2374.6493728892806,2374.6493728892806
model_sierra 2500hd,2364.573183750069,2364.573183750069
manufacturer_gmc,2347.1877374957207,2347.1877374957207
manufacturer_dodge,-2337.16789026662,2337.16789026662
manufacturer_pontiac,-2316.090951358415,2316.090951358415
model_camaro,-2299.8269593415102,2299.8269593415102
type_wagon,-2249.116092175683,2249.116092175683
model_pilot,2208.296611853972,2208.296611853972
model_e-class,2199.925987798859,2199.925987798859
model_elantra,-2193.213373919562,2193.213373919562
model_civic,-2190.8381363269164,2190.8381363269164
model_missing,-2183.159830397445,2183.159830397445
type_coupe,2168.5265765668582,2168.5265765668582
model_other_chevrolet,-2157.7699758638078,2157.7699758638078
region_reno / tahoe,2139.763595726583,2139.763595726583
transmission_other,2103.2381463648285,2103.2381463648285
manufacturer_honda,-2037.035693885233,2037.035693885233
region_anchorage / mat-su,2025.0970290640203,2025.0970290640203
region_new york city,-2018.9679593744652,2018.9679593744652
manufacturer_chevrolet,1986.1617641623134,1986.1617641623134
model_grand caravan,-1967.6706273059094,1967.6706273059094
region_north jersey,-1961.4930937850745,1961.4930937850745
model_other_bmw,1955.5642606142621,1955.5642606142621
region_houston,-1913.969480584377,1913.969480584377
model_jetta,-1902.8802047388335,1902.8802047388335
manufacturer_cadillac,1896.555509417253,1896.555509417253
model_expedition,1884.3835346428655,1884.3835346428655
region_maine,-1820.8881121739169,1820.8881121739169
state_me,-1820.8881121541401,1820.8881121541401
model_other_mercury,-1794.7329105280305,1794.7329105280305
region_fresno / madera,1794.4070478136214,1794.4070478136214
paint_color_missing,-1765.2374977306804,1765.2374977306804
manufacturer_subaru,-1742.0129456699167,1742.0129456699167
region_other_ak,1728.2386427325582,1728.2386427325582
model_other_nissan,1717.0246519185887,1717.0246519185887
model_tacoma,1703.8880634690263,1703.8880634690263
state_mt,1698.0834001633496,1698.0834001633496
region_other_mt,1698.0834001363298,1698.0834001363298
region_inland empire,-1689.2412435015353,1689.2412435015353
model_sentra,-1680.0813817413164,1680.0813817413164
model_durango,1675.290747849979,1675.290747849979
model_prius,-1655.1333277698766,1655.1333277698766
region_ft myers / SW florida,1586.4059304936775,1586.4059304936775
model_soul,-1577.1691754983217,1577.1691754983217
model_santa fe,1572.6979923476697,1572.6979923476697
model_impreza,-1487.5070025922057,1487.5070025922057
region_sarasota-bradenton,1461.529848160293,1461.529848160293
state_oh,-1423.3621731715846,1423.3621731715846
region_atlanta,-1409.8441246731825,1409.8441246731825
state_wa,1394.2654317737768,1394.2654317737768
model_other_lincoln,1391.0927083543725,1391.0927083543725
state_nh,-1366.5963139894577,1366.5963139894577
region_new hampshire,-1366.5963139867717,1366.5963139867717
model_silverado,1360.7632364106746,1360.7632364106746
region_charlotte,-1359.720511781711,1359.720511781711
model_highlander,1342.468870586373,1342.468870586373
region_milwaukee,-1341.904941156735,1341.904941156735
state_fl,-1322.3638924025236,1322.3638924025236
state_ct,-1318.1990497107222,1318.1990497107222
region_los angeles,-1306.7997743735036,1306.7997743735036
manufacturer_ram,1304.4254569024633,1304.4254569024633
model_other_missing,-1298.119238494275,1298.119238494275
region_bend,1297.5138654098082,1297.5138654098082
model_other_volvo,1290.8672835798936,1290.8672835798936
region_long island,-1241.446007296263,1241.446007296263
region_san diego,-1226.1946485772291,1226.1946485772291
model_charger,-1218.6553312125372,1218.6553312125372
state_ma,-1212.700647181574,1212.700647181574
region_philadelphia,-1186.1851797102597,1186.1851797102597
region_grand rapids,1180.7714634511976,1180.7714634511976
state_mi,-1168.0845631941224,1168.0845631941224
region_other_or,1167.1465046126402,1167.1465046126402
model_forester,-1148.8232587023315,1148.8232587023315
region_spokane / coeur d'alene,-1126.5008094149662,1126.5008094149662
region_portland,-1115.96648935351,1115.96648935351
manufacturer_toyota,1101.0767364789097,1101.0767364789097
manufacturer_missing,-1088.9053027205234,1088.9053027205234
region_albany,1076.8660773311485,1076.8660773311485
paint_color_silver,-1027.3422564424848,1027.3422564424848
paint_color_custom,-1007.5395030273246,1007.5395030273246
model_odyssey,1006.0420764479928,1006.0420764479928
manufacturer_mercury,-986.5479647019765,986.5479647019765
model_mustang,-970.0281991079518,970.0281991079518
state_or,-967.0345528512246,967.0345528512246
model_3 series,-942.885255274343,942.885255274343
region_stockton,921.981919693777,921.981919693777
model_other_jeep,-904.896162835927,904.896162835927
type_mini-van,-889.9379348282775,889.9379348282775
region_other_ia,-888.6225819840448,888.6225819840448
paint_color_grey,-868.7543654895973,868.7543654895973
state_id,859.6636152243617,859.6636152243617
state_pa,-833.9958567467037,833.9958567467037
region_other_oh,832.2704040809216,832.2704040809216
model_other_infiniti,832.1875832242756,832.1875832242756
region_tulsa,828.264906251916,828.264906251916
manufacturer_infiniti,826.5111461388547,826.5111461388547
transmission_missing,822.1246365277608,822.1246365277608
model_other_ford,815.3522615896628,815.3522615896628
state_vt,-809.6300398365428,809.6300398365428
region_vermont,-809.6300398342951,809.6300398342951
model_x5,792.7532071748446,792.7532071748446
condition_good,789.0468647207255,789.0468647207255
transmission_manual,771.1129536566525,771.1129536566525
region_other_fl,-762.5840322866646,762.5840322866646
state_ca,-760.3375800399873,760.3375800399873
region_other_ne,754.485777246891,754.485777246891
paint_color_blue,-744.6680906306527,744.6680906306527
region_cincinnati,732.1243251073179,732.1243251073179
region_eugene,710.9512232519075,710.9512232519075
state_mo,706.2221803896683,706.2221803896683
region_phoenix,-692.9440254738577,692.9440254738577
region_ventura county,690.2042860759794,690.2042860759794
region_other_ma,-686.1605756960264,686.1605756960264
state_co,662.0952649611861,662.0952649611861
condition_missing,647.6899815487968,647.6899815487968
region_other_sc,643.9084047113228,643.9084047113228
region_colorado springs,630.617901918339,630.617901918339
state_nj,-626.4204883230528,626.4204883230528
paint_color_yellow,607.8125998954077,607.8125998954077
region_other_ca,606.5373466740162,606.5373466740162
region_other_tx,606.4868468353089,606.4868468353089
region_omaha / council bluffs,605.5749305305995,605.5749305305995
state_ut,603.1797328393388,603.1797328393388
region_other_ut,603.179732835569,603.179732835569
region_minneapolis / st paul,-594.5949605573852,594.5949605573852
region_other_mi,592.1134574587653,592.1134574587653
manufacturer_buick,-576.4706922135024,576.4706922135024
region_tampa bay area,570.2331677246609,570.2331677246609
state_wv,558.9754148738172,558.9754148738172
region_other_wv,558.9754148728763,558.9754148728763
region_orange county,-558.6263850655462,558.6263850655462
region_baltimore,-551.848560057327,551.848560057327
model_other_subaru,546.3629248957765,546.3629248957765
model_c-class,-534.1723140707202,534.1723140707202
region_springfield,528.1304566804677,528.1304566804677
model_other_acura,521.9316094167951,521.9316094167951
state_ny,-503.1662236981805,503.1662236981805
state_tx,-501.5713394607973,501.5713394607973
region_orlando,-499.961397309704,499.961397309704
state_ri,-499.2899725673543,499.2899725673543
region_oklahoma city,-496.99783427055,496.99783427055
region_rochester,-487.03044084319157,487.03044084319157
region_other_ks,484.67888942366005,484.67888942366005
type_van,477.0986533000029,477.0986533000029
model_other_ram,475.2523430862061,475.2523430862061
model_explorer,464.407016730281,464.407016730281
region_other_pa,464.30683781474465,464.30683781474465
state_dc,-448.5811690801029,448.5811690801029
"region_washington, DC",-448.58116907705545,448.58116907705545
state_nc,439.0633322774784,439.0633322774784
state_wi,-435.81291714081095,435.81291714081095
paint_color_red,-430.99286355602254,430.99286355602254
region_other_az,423.78417792340326,423.78417792340326
region_other_id,416.5561818614909,416.5561818614909
state_ia,403.4180546174911,403.4180546174911
region_cleveland,-379.1413176495723,379.1413176495723
region_dallas / fort worth,-376.96721028507613,376.96721028507613
region_other_nc,375.9602279300251,375.9602279300251
model_other_hyundai,-355.5050644382183,355.5050644382183
region_other_tn,337.53588601048915,337.53588601048915
region_other_nm,-337.01223168444676,337.01223168444676
age*odometer,334.3766978148613,334.3766978148613
region_nashville,-321.0159733885091,321.0159733885091
region_other_md,320.8982724721567,320.8982724721567
state_sd,318.6039200531502,318.6039200531502
region_other_sd,318.6039200527749,318.6039200527749
state_ms,-312.49416115253985,312.49416115253985
region_other_ms,-312.4941611476123,312.4941611476123
state_ne,309.39262981650495,309.39262981650495
state_ar,302.55804779818135,302.55804779818135
region_other_ar,302.5580477972445,302.5580477972445
"region_st louis, MO",302.1302736111059,302.1302736111059
model_other_honda,-300.58542270006603,300.58542270006603
region_modesto,-288.4758423096865,288.4758423096865
paint_color_green,-270.9198699203848,270.9198699203848
region_other_al,270.62724392231297,270.62724392231297
state_al,270.62724390124123,270.62724390124123
manufacturer_jeep,260.99188599290903,260.99188599290903
model_silverado 1500,258.46099119618253,258.46099119618253
state_az,-246.17156564699917,246.17156564699917
region_des moines,241.37255862514013,241.37255862514013
region_denver,233.32298029956175,233.32298029956175
paint_color_brown,-227.52175312638795,227.52175312638795
state_tn,214.77353291420147,214.77353291420147
region_other_co,-201.84561724505028,201.84561724505028
region_knoxville,198.25362033529586,198.25362033529586
state_ks,193.55006902061592,193.55006902061592
region_other_va,192.51683726026178,192.51683726026178
region_las vegas,178.83485177009447,178.83485177009447
paint_color_white,-174.39364955609906,174.39364955609906
region_other_ct,-171.07540136067345,171.07540136067345
model_other_toyota,125.91909123590351,125.91909123590351
region_pittsburgh,-112.11751478266672,112.11751478266672
type_missing,-100.58864462708698,100.58864462708698
odometer^2,-95.01778338987158,95.01778338987158
condition_like new,-82.0632232072812,82.0632232072812
state_nm,-61.431793539820916,61.431793539820916
manufacturer_audi,-50.14271767778647,50.14271767778647
region_tucson,22.98828189412542,22.98828189412542
